distri	refdistribuidora	codiprovincia	tarname	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	0031	04	2.0A	4	4	0	0	0.0	0.0	0.0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9653,10424,11646,12465	True
2273	0031	06	2.0A	1	1	0	0	2.0	0.0	0.0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12164	True
2273	0031	07	2.0A	45	45	0	0	19.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9453,9609,9610,9641,9674,10421,10440,10492,10505,10521,10526,10535,10587,10605,10609,10688,11066,11643,11672,11673,11733,11737,11785,11807,11977,11980,11996,12018,12025,12035,12065,12066,12070,12071,12105,12109,12270,12287,12475,12493,12521,12545,12560,12601,12627	True
2273	0031	07	2.0DHA	2	2	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11706,12570	True
2273	0031	07	2.1A	1	1	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10419	True
2273	0031	07	3.0A	2	2	0	0	2.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10560,11014	True
2273	0031	08	2.0A	333	329	3	1	135.0	40.0	33.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8657,9409,9411,9428,9431,9432,9433,9489,9492,9500,9531,9533,9608,9618,9619,9620,9622,9624,9625,9627,9632,9635,9636,9639,9642,9646,9649,9651,9656,9659,9662,9665,9666,9671,9673,9676,9681,10097,10422,10430,10433,10443,10444,10446,10449,10457,10458,10459,10460,10461,10470,10471,10477,10480,10482,10491,10495,10496,10498,10503,10509,10511,10515,10516,10519,10520,10529,10530,10531,10538,10540,10541,10542,10544,10545,10556,10557,10558,10563,10564,10568,10569,10570,10571,10572,10573,10577,10578,10579,10586,10590,10597,10602,10604,10649,10650,10651,10679,10686,10687,10689,10690,10694,10982,10983,10987,11027,11033,11044,11071,11085,11154,11157,11158,11159,11160,11162,11642,11652,11653,11656,11657,11659,11661,11662,11663,11665,11666,11668,11670,11671,11674,11675,11679,11680,11681,11682,11684,11687,11688,11690,11692,11694,11695,11699,11700,11705,11707,11708,11709,11711,11712,11714,11715,11717,11718,11721,11722,11725,11727,11731,11732,11740,11741,11743,11746,11747,11752,11753,11754,11759,11770,11771,11773,11776,11778,11780,11782,11783,11787,11796,11798,11799,11800,11801,11861,11869,11900,11955,11959,11962,11964,11970,11972,11976,11985,11987,11994,12001,12002,12003,12004,12005,12006,12007,12013,12014,12015,12017,12019,12021,12028,12030,12034,12038,12039,12044,12047,12051,12052,12063,12067,12068,12069,12072,12073,12075,12076,12079,12080,12081,12085,12086,12087,12091,12095,12096,12113,12114,12115,12116,12119,12120,12138,12141,12144,12146,12148,12150,12154,12155,12169,12200,12201,12252,12268,12272,12282,12283,12431,12434,12435,12441,12443,12445,12450,12454,12457,12461,12464,12466,12467,12469,12470,12472,12473,12474,12479,12482,12484,12485,12486,12488,12489,12490,12492,12494,12495,12499,12500,12501,12508,12509,12513,12515,12523,12525,12526,12528,12529,12531,12532,12533,12534,12537,12540,12544,12556,12558,12559,12568,12571,12577,12582,12585,12589,12592,12594,12600,12605,12607,12608,12609,12611,12613,12615,12619,12621,12622,12623,12626,12629,12636	True
2273	0031	08	2.0DHA	15	15	0	0	2.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10466,10475,10553,10583,10592,11073,11750,11769,11789,11998,12064,12082,12437,12527,12587	True
2273	0031	08	2.1A	11	10	1	0	9.0	21.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10468,10472,10486,10489,10565,10692,12016,12056,12145,12166,12480	True
2273	0031	08	2.1DHA	5	5	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11660,11788,11971,12008,12037	True
