count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	distriid	refdistribuidora	tarname	codiprovincia	nomprovincia	distriname	casos
1	1	0	0	12.0	0.0	0.0	0	0	0	3742	0033	2.0A	27	Lugo	DISTRIBUCIÓN BEGASA	10060
1	1	0	0	12.0	0.0	0.0	0	0	0	3742	0033	2.0DHA	27	Lugo	DISTRIBUCIÓN BEGASA	11702
3	3	0	0	83.0	0.0	0.0	0	0	0	2406	0026	2.0A	33	Asturias	DISTRIBUCIÓN CANTÁBRICO	6990,7984,8403
2	2	0	0	31.0	0.0	0.0	0	0	0	3723	0030	2.0A	22	Huesca	DISTRIBUCIÓN EASA	7908,9601
1	1	0	0	49.0	0.0	0.0	0	0	0	3695	0032	2.0A	16	Cuenca	ELECTRICA CONQUENSE, S.A.	6710
1	1	0	0	10.0	0.0	0.0	0	0	0	2273	0031	2.0A	04	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10424
47	47	0	0	1110.0	0.0	0.0	0	0	0	2273	0031	2.0A	07	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6680,6971,7019,7062,7232,7413,7433,7434,7469,7487,7564,7573,7591,7864,7900,7916,7930,7989,8016,8031,8036,8049,8416,8436,8464,9054,9065,9121,9176,9195,9196,9481,9511,9542,9543,9553,9609,9610,10505,10526,10535,11672,11673,11733,11737,11980,11996
1	1	0	0	18.0	0.0	0.0	0	0	0	2273	0031	2.1A	07	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10419
4	4	0	0	76.0	0.0	0.0	0	0	0	2273	0031	3.0A	07	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7891,8269,9482,10560
234	233	1	0	6172.0	73.0	0.0	0	0	0	2273	0031	2.0A	08	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5798,5936,5954,5968,5994,6046,6052,6080,6432,6462,6482,6513,6542,6679,6709,6717,6737,6741,6743,6755,6756,6759,6796,6814,6837,6839,6860,6861,6862,6868,6934,6960,6974,6981,6991,6998,7007,7029,7046,7058,7060,7061,7063,7097,7100,7112,7115,7117,7228,7399,7409,7417,7428,7432,7437,7457,7467,7472,7486,7493,7498,7512,7518,7529,7539,7540,7568,7578,7586,7595,7602,7608,7634,7644,7851,7852,7856,7865,7866,7870,7877,7879,7909,7914,7924,7926,7927,7928,7940,7943,7967,7972,7976,7979,7998,7999,8006,8011,8012,8015,8045,8054,8060,8079,8086,8092,8316,8321,8326,8351,8354,8374,8376,8379,8398,8402,8422,8426,8431,8447,8457,8467,8471,8487,8490,8496,8571,8574,8577,8589,8603,8609,8621,8629,8651,9020,9024,9025,9027,9036,9037,9040,9058,9071,9081,9090,9091,9093,9098,9108,9109,9187,9226,9233,9240,9257,9259,9260,9263,9418,9427,9428,9431,9434,9437,9445,9450,9452,9454,9475,9477,9488,9492,9493,9500,9505,9506,9514,9516,9517,9522,9528,9535,9538,9545,9548,9550,9559,9619,9620,9624,9625,9635,9639,9651,9673,10443,10449,10480,10509,10519,10529,10540,10542,10558,10569,10571,10686,10687,10690,11661,11663,11666,11671,11681,11687,11692,11712,11717,11718,11731,11741,11753,11955,11987,11994,12021,12081,12087,12116,12119,12138,12144,12146
