distriid	refdistribuidora	codiprovincia	tarname	nreq	nomprovincia	distriname	casos
2273	0031	07	2.0A	2	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15742,15743
2273	0031	08	2.0A	20	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15239,15498,15499,15500,15501,15503,15504,15520,15738,15739,15740,15778,15793,15976,15977,15979,15981,15982,16482,16484
2273	0031	08	2.0DHA	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15978
2273	0031	17	2.0A	3	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15502,15737,16483
2273	0031	25	2.0A	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15980
2273	0031	41	2.0A	1	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15232
2273	0031	43	2.0A	2	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15735,15741
2273	0031	50	2.0A	3	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15235,15497,16481
2280	0021	09	2.0A	1	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	16486
2280	0021	28	2.0A	2	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	15983,15985
2280	0021	31	2.0A	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	15984
2280	0021	46	2.0A	2	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	15506,16488
2316	0022	15	2.0DHA	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	15975
2316	0022	28	2.0A	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	15508
