nprocessos	ontime	late	verylate	codiprovincia	distri	tarname	refdistribuidora	nomprovincia	nomdistribuidora	casos	bool
1	1	0	0	17	2272	2.0A	0176	Girona	ELECTRA AVELLANA, S.L.	9045	True
5	2	2	1	07	2273	2.0A	0031	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5953,8614,8617,9453,9456	True
28	22	3	3	08	2273	2.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5344,6403,6596,8652,8656,8657,9409,9411,9416,9419,9420,9422,9428,9431,9432,9433,9462,9463,9467,9487,9489,9492,9500,9508,9518,9531,9533,9556	True
2	1	0	1	08	2273	2.0DHA	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5794,9460	True
1	1	0	0	08	2273	2.1A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9466	True
1	0	0	1	08	2273	3.0A	0031	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7073	True
6	5	0	1	17	2273	2.0A	0031	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5770,9410,9417,9423,9513,9525	True
1	0	0	1	25	2273	2.0A	0031	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4573	True
1	0	0	1	38	2273	2.0A	0031	Santa Cruz de Tenerife	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5487	True
1	0	1	0	41	2273	2.0A	0031	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8623	True
1	1	0	0	42	2273	2.0A	0031	Soria	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9465	True
7	6	1	0	43	2273	2.0A	0031	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8620,9413,9426,9449,9459,9474,9476	True
1	1	0	0	28	2280	2.0DHA	0021	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9369	True
2	2	0	0	31	2280	2.0A	0021	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9009,9114	True
2	0	1	1	46	2280	2.0A	0021	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5832,8475	True
6	0	2	4	17	2282	2.0A	0112	Girona	AGRI ENERGIA ELECTRICA	3039,5332,5340,5358,7901,7953	True
1	0	0	1	None	2282	2.0A	0112	None	AGRI ENERGIA ELECTRICA	5335	True
1	0	0	1	17	2300	2.0DHA	0211	Girona	ELÉCTRICA CUROS, S.A.	6541	True
6	0	3	3	08	2301	2.0A	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	5323,6538,6771,8061,8093,8270	True
3	0	1	2	08	2301	2.0DHA	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	6870,7032,7907	True
1	0	1	0	08	2301	2.1DHA	0113	Barcelona	ESTABANELL Y PAHISA ENERGIA	8322	True
1	0	1	0	15	2316	2.0A	0022	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8281	True
1	1	0	0	28	2316	2.0A	0022	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	9327	True
1	0	0	1	17	2326	2.0A	0122	Girona	BASSOLS ENERGÍA, S.A.	3797	True
1	0	0	1	43	3245	2.0A	0232	Tarragona	ELECTRICA DEL EBRO, S.A.	3222	True
2	0	0	2	27	3742	2.0A	0033	Lugo	DISTRIBUCIÓN BEGASA	7099,7617	True
1	1	0	0	50	3831	2.0A	0463	Zaragoza	SOLANAR DISTRIBUIDORA ELECTRICA, S.L.	8833	True
1	0	0	1	17	4562	2.0A	0336	Girona	LERSA ELECTRICITAT, S.L.	7563	True
1	0	1	0	10	8704	2.0A	0102	Cáceres	ELECTRICAS PITARCH DIST. S.L.U	8089	True
1	0	0	1	05	10117	2.0A	0316	Avila	HIDROELÉCTRICA VIRGEN DE CHILLA, S.L.	6919	True
1	0	1	0	19	10866	2.0DHA	0306	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	8434	True
1	0	0	1	19	10866	2.1A	0306	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	2642	True
1	0	1	0	25	11861	2.0A	0223	Lleida	ELECTRICA DE GUIXES, SL	8255	True
1	1	0	0	46	13288	2.0A	0492	València	FUERZAS ELECTRICAS DE VALENCIA, S.A. (FEVASA)	9313	True
1	0	0	1	21	16391	2.0A	0339	Huelva	MEDINA GARVEY, S.A.	2946	True
1	0	0	1	09	17132	2.0A	0172	Burgos	Electra Aduriz, S.A.	3558	True
1	0	0	1	36	20540	2.0A	0244	Pontevedra	ELÉCTRICA LOS MOLINOS, S.L.	7403	True
1	0	1	0	22	21327	2.0A	0291	Huesca	GRUPO DE ELEC. RURAL DE BINEFAR Y COMARCA	8352	True
