distri	refdistribuidora	codiprovincia	tarname	rejectreason	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2272	0176	17	2.0A	3	1	0	1	0	0.0	11.0	0.0	Girona	ELECTRA AVELLANA, S.L.	10502	True
2273	0031	07	2.0A	1	1	1	0	0	1.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11974	True
2273	0031	07	2.0A	11	9	9	0	0	3.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9880,9882,9905,9946,9952,9971,9998,10046,10914	True
2273	0031	07	2.0A	3	1	1	0	0	3.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10473	True
2273	0031	08	2.0A	1	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	11734	True
2273	0031	08	2.0A	11	94	93	1	0	54.0	13.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9814,9819,9825,9835,9839,9843,9844,9845,9847,9848,9851,9858,9859,9863,9865,9869,9870,9877,9883,9884,9889,9894,9895,9897,9898,9900,9903,9912,9915,9919,9921,9927,9931,9932,9943,9944,9948,9949,9950,9954,9956,9958,9961,9962,9965,9969,9981,9983,9996,9997,10007,10011,10012,10016,10020,10030,10032,10036,10037,10038,10039,10045,10047,10048,10049,10051,10053,10058,10063,10065,10068,10074,10078,10705,10708,10717,10743,10747,10768,10781,10785,10829,10834,10856,10865,10872,10897,10909,10912,10945,10961,11821,11991,12439	True
2273	0031	08	2.0A	2	2	2	0	0	4.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9628,9857	True
2273	0031	08	2.0A	3	30	28	1	1	72.0	8.0	27.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8652,9416,9419,9420,9422,9462,9463,9467,9508,9518,9607,10066,10088,10456,10652,11762,11793,11806,11808,11812,11813,11817,11818,11819,11824,11826,11828,12000,12033,12123	True
2273	0031	08	2.0A	6	3	3	0	0	11.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9412,9556,10574	True
2273	0031	08	2.0DHA	11	5	5	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9832,9856,9942,9951,10005	True
2273	0031	08	2.0DHA	17	1	1	0	0	4.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9460	True
2273	0031	08	2.0DHA	3	1	1	0	0	3.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12089	True
2273	0031	08	2.1A	1	1	1	0	0	4.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9466	True
2273	0031	08	2.1A	6	1	1	0	0	3.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	10539	True
2273	0031	08	2.1DHA	11	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9918	True
2273	0031	08	3.0A	11	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9878	True
2273	0031	08	3.0A	2	2	1	0	1	0.0	0.0	39.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7073,11811	True
2273	0031	14	2.0A	3	1	1	0	0	2.0	0.0	0.0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	12097	True
2273	0031	17	2.0A	1	1	1	0	0	4.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9513	True
2273	0031	17	2.0A	11	8	8	0	0	6.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9850,9871,9875,9947,10010,10035,10772,10838	True
2273	0031	17	2.0A	2	1	1	0	0	0.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9974	True
2273	0031	17	2.0A	3	4	4	0	0	10.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9423,9525,11809,11823	True
