distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2273	0031	04	2.0A	C3	5	5	0	0	5	0.0	0.0	828.0	0	0	0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	267,922,1510,2761,3030	True
2273	0031	06	2.0A	C3	5	4	1	0	3	4.0	0.0	347.0	0	0	0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	1080,4570,5052,9197	True
2273	0031	07	2.0A	C3	5	83	22	18	43	67.0	275.0	3881.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	332,426,446,609,676,731,1008,1048,1495,1664,1818,2466,2924,3304,3374,3478,3529,3586,4380,4449,5636,5780,5861,6084,6499,6680,6807,6831,6971,6972,7019,7062,7232,7433,7434,7469,7480,7487,7536,7564,7573,7591,7603,7864,7899,7900,7916,7930,7932,7989,8016,8031,8049,8062,8363,8412,8416,8423,8436,8464,8568,9032,9054,9061,9065,9121,9146,9176,9195,9196,9205,9267,9268,9270,9271,9272,9481,9483,9484,9511,9530,9542,9553	True
2273	0031	07	2.1A	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	9175	True
2273	0031	07	3.0A	C3	4	4	1	2	1	1.0	32.0	107.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	3453,7891,8269,9482	True
2273	0031	08	2.0A	C3	5	673	120	110	443	324.0	1532.0	44151.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	274,291,311,364,383,384,390,396,400,408,410,411,437,439,442,449,456,476,478,480,484,508,513,524,525,537,543,550,553,558,577,579,580,598,600,602,607,620,622,639,654,662,663,687,690,703,706,707,711,726,746,747,754,756,761,767,774,777,781,785,822,823,824,825,837,838,839,845,860,872,902,914,953,993,997,1033,1040,1062,1098,1162,1218,1232,1288,1289,1296,1306,1315,1322,1352,1356,1405,1411,1415,1442,1493,1536,1574,1598,1613,1665,1666,1672,1685,1686,1707,1713,1723,1749,1750,1761,1767,1782,1798,1821,1873,1897,1906,2044,2338,2345,2470,2506,2516,2528,2532,2545,2546,2548,2577,2584,2705,2722,2742,2754,2757,2773,2790,2808,2809,2850,2852,2853,2856,2904,2910,2920,2925,2926,2930,2931,3021,3109,3118,3137,3151,3153,3170,3220,3223,3235,3253,3261,3263,3278,3284,3369,3391,3398,3402,3479,3493,3517,3524,3543,3555,3556,3561,3569,3584,3587,3589,3643,3647,3652,3654,3668,3672,3696,3718,3720,3721,3733,3750,3763,4055,4057,4058,4062,4069,4087,4092,4104,4105,4362,4365,4367,4370,4445,4446,4453,4455,4486,4494,4505,4520,4524,4526,4538,4541,4547,4548,4610,4628,4646,4649,4651,4654,4664,4670,4694,4701,4704,4827,4839,4846,4906,4934,4968,5020,5024,5051,5055,5057,5064,5092,5168,5176,5178,5182,5215,5216,5233,5286,5287,5398,5412,5418,5455,5480,5491,5511,5518,5531,5549,5554,5559,5570,5602,5608,5626,5629,5630,5632,5651,5652,5669,5736,5741,5748,5784,5788,5798,5810,5838,5840,5859,5892,5893,5936,5954,5956,5968,5981,5991,5994,6018,6019,6020,6022,6046,6049,6052,6069,6080,6081,6095,6103,6128,6138,6149,6326,6371,6392,6416,6426,6432,6433,6460,6462,6464,6465,6482,6509,6513,6523,6542,6544,6665,6672,6679,6686,6691,6696,6706,6709,6717,6737,6739,6741,6743,6752,6753,6755,6756,6759,6761,6764,6769,6782,6796,6814,6816,6821,6823,6826,6837,6839,6842,6860,6861,6862,6868,6873,6934,6935,6946,6948,6951,6957,6958,6960,6962,6974,6976,6981,6982,6988,6991,7007,7014,7018,7029,7046,7058,7061,7063,7091,7097,7100,7102,7104,7115,7117,7228,7230,7231,7233,7234,7235,7236,7241,7399,7409,7415,7417,7428,7430,7432,7437,7445,7457,7467,7472,7475,7477,7486,7489,7493,7498,7512,7518,7529,7532,7539,7540,7543,7544,7548,7559,7568,7578,7580,7584,7587,7588,7595,7599,7602,7608,7626,7634,7637,7644,7731,7847,7851,7852,7854,7856,7865,7866,7870,7877,7879,7880,7884,7924,7926,7927,7928,7931,7940,7943,7949,7956,7960,7963,7967,7972,7976,7979,7995,7998,8006,8011,8012,8015,8017,8018,8038,8045,8051,8054,8056,8060,8067,8070,8079,8086,8092,8278,8316,8321,8333,8336,8340,8351,8354,8356,8372,8374,8376,8379,8391,8398,8402,8408,8409,8414,8422,8426,8431,8435,8437,8447,8457,8462,8467,8470,8487,8490,8495,8496,8498,8499,8532,8540,8546,8549,8553,8554,8561,8564,8570,8571,8574,8577,8583,8589,8592,8602,8603,8605,8609,8615,8621,8626,8629,8640,8651,8653,8654,8655,9012,9013,9019,9020,9021,9027,9033,9035,9036,9037,9040,9047,9049,9063,9066,9067,9068,9071,9072,9073,9077,9078,9079,9080,9081,9090,9091,9093,9094,9096,9098,9099,9104,9108,9109,9126,9127,9132,9133,9151,9156,9162,9171,9186,9187,9188,9189,9192,9198,9199,9203,9220,9226,9228,9229,9231,9233,9240,9246,9252,9259,9260,9263,9264,9265,9282,9286,9291,9418,9424,9427,9429,9434,9437,9438,9439,9441,9442,9443,9445,9446,9450,9452,9454,9471,9473,9477,9486,9488,9490,9491,9493,9497,9501,9502,9503,9505,9506,9507,9509,9510,9514,9516,9517,9522,9528,9534,9535,9538,9539,9545,9547,9548,9550,9552,9557,9558,9559,9561,9562	True
2273	0031	08	2.0A	C4	5	1	0	0	1	0.0	0.0	87.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4379	True
2273	0031	08	2.0DHA	C3	5	34	5	6	23	17.0	87.0	2595.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	293,309,329,692,891,1138,1432,1496,1608,2745,3177,3242,3793,4825,5465,6136,6137,6855,6882,6978,7067,7502,7582,7869,7957,7959,8390,8396,8575,9014,9087,9191,9206,9333	True
2273	0031	08	2.1A	C3	5	24	4	1	19	6.0	18.0	2044.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	386,409,424,425,655,1701,1912,2753,3499,5281,5289,6152,6154,6543,7051,7054,7082,7525,7560,7878,9060,9440,9554,9586	True
2273	0031	08	2.1DHA	C3	5	11	2	3	6	8.0	47.0	722.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	398,570,696,6493,7119,7426,7897,7993,8473,9134,9145	True
