distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	nomprovincia	nomdistribuidora	casos	bool
2273	R1-299	07	2.0A	C3	5	16	16	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28117,28136,28400,28401,28404,28405,28408,28412,28434,28443,28482,28488,28492,28523,28528,28543	True
2273	R1-299	07	3.0A	C3	4	2	2	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28403,28432	True
2273	R1-299	08	2.0A	C3	5	52	51	0	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	26806,28387,28388,28389,28390,28395,28397,28414,28418,28419,28433,28436,28453,28455,28458,28459,28460,28463,28464,28466,28467,28468,28469,28470,28471,28472,28473,28474,28475,28480,28487,28489,28498,28500,28506,28507,28508,28509,28511,28513,28514,28524,28531,28532,28534,28535,28536,28540,28545,28547,28548,28549	True
2273	R1-299	08	2.0DHA	C3	5	3	3	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28426,28428,28497	True
2273	R1-299	08	2.1A	C3	5	3	3	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28399,28427,28441	True
2273	R1-299	11	2.0A	C3	5	1	1	0	0	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28407	True
2273	R1-299	14	2.0A	C3	5	2	2	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28478,28525	True
2273	R1-299	14	2.1DHA	C3	5	1	1	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28440	True
2273	R1-299	17	2.0A	C3	5	6	6	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28114,28413,28417,28494,28529,28530	True
2273	R1-299	18	2.0A	C3	5	3	3	0	0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28431,28462,28479	True
2273	R1-299	21	2.0A	C3	5	1	1	0	0	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28477	True
2273	R1-299	25	2.0A	C3	5	2	2	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	28447,28491	True
