distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2272	R1-091	17	2.0A	C3	5	2	0	0	2	0.0	0.0	871.0	0	0	0	Girona	ELECTRA AVELLANA, S.L.	13806,15528	True
2273	R1-299	07	2.0A	C3	5	35	10	11	14	40.0	144.0	2502.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	332,446,3529,39153,39181,39692,39747,39765,40172,40468,40934,40938,40951,41046,41606,41614,41650,41876,41929,41937,41942,41966,41984,42054,42126,42328,42332,42355,42384,42393,42419,42435,42455,42456,42469	True
2273	R1-299	07	2.1A	C3	5	1	0	0	1	0.0	0.0	53.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39248	True
2273	R1-299	08	2.0A	C3	5	221	36	67	118	144.0	977.0	43111.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	274,291,311,364,383,384,390,396,400,408,410,411,437,439,449,456,476,480,484,508,537,543,553,558,577,579,580,598,602,607,620,639,662,663,690,703,706,726,747,754,756,761,781,785,822,1665,3672,3763,6752,6764,9099,9252,9291,9486,11796,13257,14277,15900,16006,19202,26806,28821,30920,31935,33543,36928,36944,39081,39128,39158,39216,39242,39675,39683,39748,39776,39804,40079,40122,40221,40235,40247,40439,40453,40522,40523,40539,40549,40555,40567,40577,40607,40622,40701,40931,40936,40945,40958,40965,40970,40976,40984,40987,40988,40999,41015,41023,41027,41035,41036,41040,41041,41058,41063,41083,41107,41111,41166,41591,41596,41600,41607,41613,41616,41622,41625,41634,41644,41645,41654,41660,41662,41668,41681,41682,41683,41691,41693,41696,41700,41702,41703,41708,41709,41712,41713,41721,41723,41727,41735,41737,41848,41860,41925,41927,41939,41946,41947,41950,41955,41958,41959,41973,41974,41985,41990,41993,41994,41995,41998,42003,42010,42013,42015,42018,42033,42036,42045,42049,42052,42068,42069,42071,42072,42119,42314,42316,42321,42324,42325,42333,42342,42349,42353,42358,42364,42369,42370,42372,42377,42382,42391,42399,42407,42411,42413,42418,42420,42428,42432,42434,42437,42439,42441,42447,42449,42452,42457,42459,42460,42466	True
2273	R1-299	08	2.0A	C4	5	1	0	0	1	0.0	0.0	605.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4379	True
2273	R1-299	08	2.0DHA	C3	5	13	0	4	9	0.0	44.0	2658.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	293,309,329,21547,40206,40471,40944,41045,41079,41926,41928,41948,41999	True
2273	R1-299	08	2.1A	C3	5	10	0	0	10	0.0	0.0	4291.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	386,409,424,425,655,12953,39146,39168,40165,40920	True
2273	R1-299	08	2.1DHA	C3	5	6	0	2	4	0.0	29.0	2198.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	398,570,696,40985,41646,42066	True
2273	R1-299	08	3.0A	C3	4	10	5	4	1	20.0	51.0	422.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15269,41685,42035,42060,42061,42348,42376,42392,42421,42422	True
2273	R1-299	14	2.0A	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42319	True
2273	R1-299	17	2.0A	C3	5	35	12	7	16	48.0	96.0	5383.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	334,778,6983,8069,8404,9170,9479,9526,10499,38747,40236,40465,40490,40514,40564,40921,41604,41608,41632,41989,42008,42074,42122,42317,42351,42363,42371,42383,42389,42409,42416,42429,42450,42453,42461	True
2273	R1-299	17	2.0DHA	C3	5	3	0	1	2	0.0	18.0	1260.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	438,8477,41663	True
2273	R1-299	17	2.1A	C3	5	4	1	1	2	4.0	11.0	896.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	401,31948,41977,42458	True
2273	R1-299	17	3.0A	C3	4	2	2	0	0	8.0	0.0	0.0	0	0	0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42415,42442	True
2273	R1-299	18	2.0A	C3	5	4	2	1	1	8.0	18.0	25.0	0	0	0	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41068,41673,42408,42446	True
2273	R1-299	21	2.0A	C3	5	4	1	0	3	4.0	0.0	450.0	0	0	0	Huelva	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15946,41025,41169,42433	True
2273	R1-299	22	2.0A	C3	5	3	0	2	1	0.0	22.0	32.0	0	0	0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40508,41992,42009	True
2273	R1-299	23	2.0A	C3	5	1	0	0	1	0.0	0.0	25.0	0	0	0	Jaen	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40972	True
2273	R1-299	25	2.0A	C3	5	15	7	2	6	28.0	29.0	2800.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	646,650,677,5218,40540,41062,41734,42041,42346,42360,42386,42396,42397,42398,42412	True
2273	R1-299	25	2.0DHA	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42395	True
2273	R1-299	25	2.1A	C3	5	1	0	0	1	0.0	0.0	39.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	40190	True
2273	R1-299	25	2.1DHA	C3	5	1	0	1	0	0.0	11.0	0.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41971	True
2273	R1-299	25	3.0A	C3	4	1	0	0	1	0.0	0.0	92.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	36763	True
2273	R1-299	25	3.1A	C3	4	1	0	0	1	0.0	0.0	427.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15051	True
2273	R1-299	25	3.1A	C3	5	2	0	0	2	0.0	0.0	840.0	0	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	15316,15317	True
2273	R1-299	29	2.0A	C3	5	4	1	2	1	4.0	22.0	731.0	0	0	0	Málaga	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	468,41965,41968,42322	True
2273	R1-299	41	2.0A	C3	5	6	0	2	4	0.0	22.0	100.0	0	0	0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41014,41056,41090,41117,42007,42062	True
2273	R1-299	41	2.1DHA	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42326	True
2273	R1-299	42	2.0A	C3	5	3	0	0	3	0.0	0.0	681.0	0	0	0	Soria	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	23614,26646,33424	True
2273	R1-299	43	2.0A	C3	5	18	2	4	12	8.0	44.0	4506.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	399,414,545,552,724,13487,27169,38585,39658,40924,40993,41018,41951,41981,42001,42056,42417,42424	True
2273	R1-299	43	3.0A	C3	4	1	0	1	0	0.0	11.0	0.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41970	True
2273	R1-299	44	2.0A	C3	5	2	1	0	1	4.0	0.0	25.0	0	0	0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	41047,42467	True
2273	R1-299	50	2.0A	C3	5	24	4	3	17	16.0	40.0	3820.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	1502,2712,21638,21642,22080,24500,25536,26068,33421,33423,35208,37011,37018,38859,39767,40198,40957,41629,42006,42070,42367,42381,42387,42390	True
2280	R1-001	01	2.0A	C3	5	2	0	0	2	0.0	0.0	561.0	0	0	0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8442,40572	True
2280	R1-001	01	3.0A	C3	3	1	0	0	1	0.0	0.0	368.0	0	0	0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	17915	True
2280	R1-001	02	3.0A	C3	3	1	0	0	1	0.0	0.0	277.0	0	0	0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	24358	True
2280	R1-001	03	2.0A	C3	5	14	5	2	7	20.0	29.0	1118.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4322,21514,39790,40083,40092,40162,40916,41595,42000,42323,42337,42338,42340,42350	True
2280	R1-001	03	2.0DHA	C3	5	3	2	1	0	8.0	11.0	0.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	42021,42330,42388	True
2280	R1-001	03	3.0A	C3	4	4	0	0	4	0.0	0.0	2245.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	3607,4340,5720,14834	True
2280	R1-001	05	3.0A	C3	4	1	0	0	1	0.0	0.0	431.0	0	0	0	Avila	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	14872	True
2280	R1-001	10	2.0A	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41684	True
2280	R1-001	10	3.0A	C3	4	1	0	0	1	0.0	0.0	312.0	0	0	0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	22083	True
2280	R1-001	12	2.0A	C3	5	7	2	3	2	8.0	47.0	475.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	14109,41116,41631,41689,41986,42313,42354	True
2280	R1-001	12	3.0A	C3	4	1	0	0	1	0.0	0.0	458.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	13686	True
2280	R1-001	19	2.0A	C3	5	2	0	1	1	0.0	18.0	605.0	0	0	0	Guadalajara	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4412,41715	True
2280	R1-001	20	2.0A	C3	5	3	0	1	2	0.0	11.0	57.0	0	0	0	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40474,40919,42063	True
2280	R1-001	24	2.0A	C3	5	2	0	1	1	0.0	11.0	619.0	0	0	0	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	3764,42065	True
2280	R1-001	26	2.0A	C3	5	3	1	1	1	4.0	18.0	220.0	0	0	0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	28084,41657,42344	True
2280	R1-001	26	3.0A	C3	3	1	0	0	1	0.0	0.0	450.0	0	0	0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	14133	True
2280	R1-001	28	2.0A	C3	5	30	6	9	15	24.0	132.0	1771.0	0	0	0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	1015,1835,39726,39745,40174,40269,40491,40932,40955,41000,41006,41030,41098,41118,41120,41635,41680,41718,41731,41857,41952,42042,42046,42114,42315,42347,42365,42394,42427,42462	True
2280	R1-001	28	2.0DHA	C3	5	3	0	0	3	0.0	0.0	82.0	0	0	0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40584,40935,40966	True
2280	R1-001	28	3.0A	C3	4	3	0	0	3	0.0	0.0	1265.0	0	0	0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8451,17945,17947	True
2280	R1-001	30	2.0A	C3	5	2	1	0	1	4.0	0.0	25.0	0	0	0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40928,42464	True
2280	R1-001	30	2.0DHA	C3	5	2	1	0	1	4.0	0.0	39.0	0	0	0	Murcia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	40097,42403	True
2280	R1-001	31	2.0A	C3	5	13	0	7	6	0.0	97.0	528.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	19836,39238,40238,40573,40611,40612,41649,41652,41653,42031,42053,42055,42113	True
2280	R1-001	31	2.0DHA	C3	5	2	1	1	0	4.0	18.0	0.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41648,42465	True
2280	R1-001	31	3.0A	C3	4	8	0	0	8	0.0	0.0	3814.0	0	0	0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	3692,3694,4309,13376,15411,18606,18608,19719	True
2280	R1-001	34	2.0A	C3	5	1	0	0	1	0.0	0.0	25.0	0	0	0	Palencia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41123	True
2280	R1-001	37	2.0A	C3	5	1	0	0	1	0.0	0.0	60.0	0	0	0	Salamanca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	38782	True
2280	R1-001	45	2.0A	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	41593	True
2280	R1-001	45	3.0A	C3	4	1	0	0	1	0.0	0.0	445.0	0	0	0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	14293	True
2280	R1-001	46	2.0A	C3	5	32	6	12	14	24.0	154.0	2875.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	1790,3279,5206,12565,26885,39733,40216,40927,40937,41029,41082,41085,41089,41144,41580,41610,41856,41906,41936,41943,41991,42011,42030,42034,42073,42112,42362,42400,42430,42445,42451,42468	True
2280	R1-001	46	2.0DHA	C3	5	2	0	0	2	0.0	0.0	714.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	1403,41032	True
2280	R1-001	46	3.0A	C3	4	5	0	0	5	0.0	0.0	2224.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6158,7868,8548,23331,23741	True
2280	R1-001	46	3.0A	C3	5	1	0	0	1	0.0	0.0	403.0	0	0	0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	15865	True
2280	R1-001	47	2.0A	C3	5	3	2	0	1	8.0	0.0	480.0	0	0	0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	12879,42378,42385	True
2280	R1-001	47	3.0A	C3	4	2	0	0	2	0.0	0.0	330.0	0	0	0	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	31856,31868	True
2280	R1-001	48	2.0A	C3	5	6	0	3	3	0.0	47.0	786.0	0	0	0	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	855,39791,40126,41674,41676,42026	True
2280	R1-001	49	2.0A	C3	5	2	0	1	1	0.0	8.0	319.0	0	0	0	Zamora	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	21645,42140	True
2280	R1-001	None	2.0A	C3	5	1	0	0	1	0.0	0.0	556.0	0	0	0	None	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6817	True
2282	R1-014	17	2.0A	C3	5	11	0	0	11	0.0	0.0	2437.0	0	0	0	Girona	AGRI ENERGIA ELECTRICA	17523,17940,18045,23705,25510,27117,30404,33025,37293,37938,39076	True
2300	R1-231	17	2.0A	C3	5	1	0	0	1	0.0	0.0	277.0	0	0	0	Girona	ELÉCTRICA CUROS, S.L.	24455	True
2300	R1-231	17	3.0A	C3	4	1	0	0	1	0.0	0.0	256.0	0	0	0	Girona	ELÉCTRICA CUROS, S.L.	25555	True
2301	R1-018	08	2.0A	C3	5	1	0	0	1	0.0	0.0	669.0	0	0	0	Barcelona	ESTABANELL Y PAHISA ENERGIA	1903	True
2316	R1-002	13	2.0A	C3	5	2	0	0	2	0.0	0.0	1093.0	0	0	0	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	6965,7613	True
2316	R1-002	15	2.0A	C3	5	2	0	1	1	0.0	18.0	60.0	0	0	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38624,41605	True
2316	R1-002	15	2.0DHA	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42320	True
2316	R1-002	19	2.0A	C3	5	2	0	2	0	0.0	22.0	0.0	0	0	0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	41932,41980	True
2316	R1-002	19	2.0A	C4	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42479	True
2316	R1-002	24	2.0A	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	41617	True
2316	R1-002	27	2.0A	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Lugo	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42366	True
2316	R1-002	28	2.0A	C3	5	26	5	5	16	20.0	76.0	5083.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	968,1712,2927,3570,6365,7438,7547,7575,40196,40576,40582,40600,40699,40947,41061,41076,41598,41637,41699,42012,42079,42401,42402,42406,42436,42443	True
2316	R1-002	28	2.0DHA	C3	5	1	0	0	1	0.0	0.0	25.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	40964	True
2316	R1-002	28	2.1A	C3	5	2	0	0	2	0.0	0.0	557.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	8280,40948	True
2316	R1-002	28	3.0A	C3	3	1	0	1	0	0.0	9.0	0.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42128	True
