distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2272	R1-091	17	2.0A	C3	5	1	1	0	0	2.0	0.0	0.0	Girona	ELECTRA AVELLANA, S.L.	43889	True
2273	R1-299	04	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43137	True
2273	R1-299	06	2.0A	C3	5	1	1	0	0	0.0	0.0	0.0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43916	True
2273	R1-299	06	2.0DHA	C3	5	2	2	0	0	0.0	0.0	0.0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43498,43810	True
2273	R1-299	07	2.0A	C3	5	32	32	0	0	4.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42723,42756,42792,42793,42799,42820,42822,43048,43055,43080,43120,43122,43182,43449,43457,43460,43508,43525,43533,43591,43848,43858,43869,43873,44171,44226,44227,44239,44250,44283,44291,44322	True
2273	R1-299	07	2.0DHA	C3	5	1	1	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43461	True
2273	R1-299	07	2.1A	C3	5	1	1	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43519	True
2273	R1-299	07	3.0A	C3	4	5	5	0	0	1.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43517,43535,43536,43537,43859	True
2273	R1-299	08	2.0A	C3	5	296	295	1	0	111.0	7.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	42492,42500,42724,42730,42733,42736,42737,42738,42739,42746,42747,42765,42767,42768,42769,42773,42777,42779,42783,42785,42786,42787,42790,42791,42794,42796,42797,42798,42802,42803,42805,42807,42809,42810,42812,42814,42816,42817,42818,42826,42828,42829,42831,42834,42835,42836,42841,42844,42846,42847,42852,42853,42854,42862,42865,42866,42867,42869,42873,42874,42883,42918,42919,43031,43032,43052,43054,43057,43060,43061,43063,43067,43070,43072,43074,43075,43076,43077,43078,43088,43090,43093,43096,43099,43102,43104,43107,43110,43112,43115,43118,43119,43131,43140,43141,43143,43149,43152,43153,43159,43160,43161,43162,43164,43173,43174,43176,43179,43181,43188,43189,43191,43193,43194,43195,43198,43201,43202,43220,43224,43345,43348,43354,43441,43450,43452,43453,43464,43465,43466,43467,43479,43480,43482,43483,43487,43491,43496,43506,43507,43511,43515,43520,43521,43526,43528,43532,43534,43542,43546,43547,43548,43549,43551,43552,43556,43589,43590,43593,43594,43769,43772,43780,43781,43782,43783,43784,43794,43795,43804,43807,43809,43811,43823,43825,43826,43827,43829,43830,43832,43833,43835,43837,43838,43839,43843,43844,43851,43854,43855,43857,43861,43867,43878,43884,43894,43895,43899,43900,43901,43903,43905,43906,43908,43909,43911,43913,43921,43924,43926,43936,43942,43944,43946,43956,43957,43960,43961,43962,43980,43981,43982,44108,44112,44113,44124,44129,44141,44142,44154,44156,44163,44164,44167,44173,44174,44176,44177,44178,44181,44188,44189,44190,44191,44192,44195,44199,44200,44208,44211,44212,44213,44214,44218,44219,44223,44224,44225,44228,44229,44230,44231,44242,44243,44245,44251,44254,44255,44257,44261,44262,44264,44268,44273,44276,44277,44280,44284,44285,44288,44290,44296,44298,44300,44301,44304,44307,44308,44309,44312,44315,44316,44317,44318,44319,44327	True
2273	R1-299	08	2.0A	C4	5	2	2	0	0	4.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43383,43790	True
