distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2273	R1-299	07	2.0A	C3	5	1	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46133
2273	R1-299	08	2.0A	C3	5	13	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45113,45114,45115,45116,45508,45509,46128,46129,46132,46671,46672,46673,46676
2273	R1-299	08	2.0A	C4	5	13	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43600,43987,43988,44139,44150,44702,44905,44906,44907,44908,44910,44912,44913
2273	R1-299	08	2.0DHA	C3	5	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46677
2273	R1-299	08	2.0DHA	C4	5	2	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44909,45527
2273	R1-299	08	3.0A	C3	3	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46674
2273	R1-299	08	3.0A	C3	4	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45507
2273	R1-299	11	2.0A	C4	5	1	Cádiz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44138
2273	R1-299	17	2.0A	C3	5	4	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45127,46130,46131,46675
2273	R1-299	17	2.0A	C4	5	2	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43989,45517
2273	R1-299	18	2.0A	C4	5	1	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45572
2273	R1-299	18	2.0DHA	C4	5	1	Granada	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45534
2273	R1-299	22	2.0A	C4	5	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45515
2273	R1-299	22	2.1A	C3	5	1	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45112
2273	R1-299	25	2.0A	C3	5	1	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45117
2273	R1-299	43	2.0A	C4	5	1	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45109
2280	R1-001	02	2.0A	C3	5	1	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44737
2280	R1-001	26	2.0A	C3	5	1	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44347
2280	R1-001	28	2.0A	C3	5	1	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45511
2280	R1-001	31	2.0A	C3	5	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	46134
2280	R1-001	31	2.0DHA	C3	5	1	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44736
2280	R1-001	46	2.0A	C3	5	1	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45118
2280	R1-001	47	2.0A	C4	5	1	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45568
2316	R1-002	15	2.0A	C3	5	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44738
2316	R1-002	15	2.0A	C4	5	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	45569
2316	R1-002	15	2.0DHA	C3	5	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	46679
2316	R1-002	28	2.0A	C3	5	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	45506
2316	R1-002	28	2.0A	C4	5	2	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44918,46321
