distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	rejectreason	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	R1-299	07	2.0A	C3	5	1	1	1	0	0	1.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45914	True
2273	R1-299	08	2.0A	C3	5	1	2	2	0	0	2.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45020,46014	True
2273	R1-299	08	2.0A	C3	5	2	2	2	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44584,45971	True
2273	R1-299	08	2.0A	C3	5	3	11	11	0	0	14.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44559,44587,44613,45032,45048,45050,45075,45378,45414,46091,46097	True
2273	R1-299	08	2.0A	C3	5	6	1	0	1	0	0.0	7.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	43958	True
2273	R1-299	08	2.0A	C4	5	57	2	2	0	0	4.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44742,45571	True
2273	R1-299	08	2.0DHA	C3	5	2	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46096	True
2273	R1-299	08	2.0DHA	C4	5	28	2	2	0	0	3.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44481,45124	True
2273	R1-299	08	3.0A	C3	4	3	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45069	True
2273	R1-299	08	3.0A	C3	4	6	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45011	True
2273	R1-299	17	2.0A	C3	5	3	2	2	0	0	6.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45373,46069	True
2273	R1-299	17	2.0A	C3	5	46	1	1	0	0	4.0	0.0	0.0	Girona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44464	True
2273	R1-299	22	2.0A	C3	5	3	1	1	0	0	1.0	0.0	0.0	Huesca	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45025	True
2273	R1-299	25	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45424	True
2273	R1-299	41	2.0A	C3	5	1	1	1	0	0	1.0	0.0	0.0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44269	True
2273	R1-299	41	2.0A	C3	5	3	1	1	0	0	1.0	0.0	0.0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44976	True
2273	R1-299	43	2.0A	C4	5	57	1	1	0	0	1.0	0.0	0.0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44324	True
2273	R1-299	50	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45937	True
2280	R1-001	28	2.0A	C3	5	3	2	2	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44503,44661	True
2280	R1-001	28	2.0A	C4	5	48	1	1	0	0	0.0	0.0	0.0	Madrid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45312	True
2280	R1-001	31	2.0A	C4	5	20	1	1	0	0	0.0	0.0	0.0	Navarra	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45526	True
2280	R1-001	46	2.0A	C3	5	2	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45365	True
2280	R1-001	46	2.0A	C3	5	20	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45945	True
2280	R1-001	46	2.0A	C3	5	6	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45382	True
2280	R1-001	46	2.0A	C4	5	57	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45530	True
2280	R1-001	46	3.0A	C4	4	17	1	1	0	0	0.0	0.0	0.0	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	44916	True
